WGTP,PWGTP,NOC,PERNP,AGEP,CPLT,COW,QTRBIR,SEX,HHL,TEN,RAC1P,SCHL,JWTRNS,ST,
0,61,-1,5000,21,0,6,3,1,0,0,1,20,11,26,
0,84,-1,0,57,0,0,4,1,0,0,2,19,0,26,
0,75,-1,3600,24,0,2,4,2,0,0,1,20,0,26,
0,3,-1,24000,31,0,1,3,1,0,0,1,21,0,26,
0,41,-1,0,38,0,0,3,1,0,0,2,17,0,26,
0,46,-1,2000,20,0,1,4,1,0,0,1,16,1,26,
0,9,-1,0,59,0,0,4,1,0,0,1,16,0,26,
0,7,-1,0,71,0,0,4,1,0,0,1,21,0,26,
0,26,-1,7200,19,0,5,2,2,0,0,1,19,0,26,
0,11,-1,0,37,0,0,1,2,0,0,1,16,0,26,
0,37,-1,7000,18,0,1,1,2,0,0,1,16,10,26,
0,31,-1,61000,64,0,6,2,1,0,0,2,20,11,26,
0,5,-1,18000,70,0,1,4,2,0,0,1,20,11,26,
0,71,-1,0,77,0,0,1,2,0,0,1,22,0,26,
0,77,-1,6000,20,0,1,3,1,0,0,1,19,10,26,
0,84,-1,0,19,0,0,1,1,0,0,1,18,0,26,
0,12,-1,200,74,0,1,2,2,0,0,1,18,0,26,
0,113,-1,0,95,0,0,1,2,0,0,1,11,0,26,
0,18,-1,0,36,0,0,2,2,0,0,1,15,0,26,
0,94,-1,5000,18,0,2,3,1,0,0,1,16,0,26,
0,57,-1,0,54,0,0,4,1,0,0,2,14,0,26,
0,38,-1,0,95,0,0,2,2,0,0,1,21,0,26,
0,16,-1,0,84,0,0,4,1,0,0,1,16,0,26,
0,73,-1,5200,18,0,1,3,1,0,0,1,16,0,26,
0,11,-1,3800,57,0,1,1,1,0,0,1,20,1,26,
0,46,-1,0,27,0,0,2,1,0,0,2,17,0,26,
0,86,-1,0,21,0,1,4,1,0,0,1,16,0,26,
0,23,-1,0,33,0,2,1,2,0,0,1,1,0,26,
0,31,-1,0,38,0,0,2,1,0,0,2,20,0,26,
0,53,-1,0,49,0,0,3,1,0,0,2,16,0,26,
0,30,-1,0,55,0,0,2,1,0,0,1,16,0,26,
0,36,-1,0,40,0,0,2,1,0,0,1,17,0,26,
0,67,-1,0,58,0,0,4,1,0,0,1,19,0,26,
0,55,-1,5000,20,0,4,2,1,0,0,1,19,10,26,
0,52,-1,0,48,0,1,1,1,0,0,1,17,0,26,
0,114,-1,0,23,0,0,1,1,0,0,1,19,0,26,
0,20,-1,0,20,0,0,3,2,0,0,1,14,0,26,
0,88,-1,0,44,0,0,4,1,0,0,1,16,0,26,
0,103,-1,16600,56,0,1,1,1,0,0,2,19,0,26,
0,57,-1,2000,22,0,4,3,2,0,0,1,19,10,26,
0,8,-1,0,80,0,0,4,1,0,0,1,18,0,26,
0,90,-1,0,36,0,0,2,1,0,0,9,15,0,26,
0,69,-1,0,18,0,0,3,1,0,0,9,16,0,26,
0,41,-1,0,40,0,4,4,1,0,0,1,17,0,26,
0,80,-1,0,18,0,2,3,2,0,0,6,18,0,26,
0,31,-1,12000,20,0,2,3,2,0,0,6,19,0,26,
0,17,-1,0,39,0,5,1,1,0,0,1,22,0,26,
0,67,-1,0,18,0,9,4,2,0,0,1,18,0,26,
0,9,-1,0,70,0,0,1,1,0,0,1,22,0,26,
0,17,-1,0,76,0,0,4,2,0,0,1,16,0,26,
0,20,-1,0,36,0,1,4,1,0,0,2,17,0,26,
0,9,-1,0,43,0,0,4,1,0,0,1,16,0,26,
0,14,-1,0,81,0,0,2,2,0,0,1,16,0,26,
0,97,-1,2100,21,0,2,3,2,0,0,6,19,0,26,
0,75,-1,96000,28,0,5,3,1,0,0,2,16,0,26,
0,67,-1,0,82,0,0,3,2,0,0,1,21,0,26,
0,3,-1,7000,67,0,1,2,1,0,0,1,10,2,26,
0,34,-1,8300,18,0,1,2,1,0,0,1,16,0,26,
0,67,-1,4000,19,0,1,1,1,0,0,1,19,0,26,
0,101,-1,0,59,0,0,1,1,0,0,1,17,0,26,
0,32,-1,0,20,0,0,4,2,0,0,9,19,0,26,
0,21,-1,0,54,0,9,1,1,0,0,1,16,0,26,
0,44,-1,0,48,0,0,3,1,0,0,8,17,0,26,
0,80,-1,0,95,0,0,2,2,0,0,1,21,0,26,
0,106,-1,0,95,0,0,1,2,0,0,1,16,0,26,
0,29,-1,0,56,0,1,4,1,0,0,1,13,0,26,
0,114,-1,2500,33,0,4,1,2,0,0,1,16,0,26,
0,4,-1,0,57,0,0,2,2,0,0,1,16,0,26,
0,28,-1,7000,23,0,1,4,2,0,0,9,16,1,26,
0,78,-1,0,38,0,0,1,1,0,0,3,17,0,26,
0,101,-1,0,19,0,1,2,1,0,0,9,19,0,26,
0,19,-1,0,28,0,0,2,1,0,0,5,17,0,26,
0,43,-1,0,21,0,4,3,1,0,0,1,19,0,26,
0,32,-1,0,66,0,0,2,1,0,0,1,16,0,26,
0,5,-1,9600,53,0,1,3,1,0,0,1,16,2,26,
0,10,-1,7000,20,0,1,2,2,0,0,1,19,10,26,
0,33,-1,600,37,0,1,2,2,0,0,2,16,2,26,
