PWGTP,PERNP,AGEP,COW,QTRBIR,SEX,RAC1P,SCHL,JWTRNS
63,0,20,0,3,2,1,19,0
54,0,61,1,3,1,2,17,0
28,19000,22,1,2,2,1,19,1
6,0,70,0,1,2,1,1,0
37,0,82,0,4,1,1,16,0
11,0,87,0,4,2,1,16,0
6,0,86,0,1,1,1,18,0
90,8000,18,1,3,2,1,18,0
86,12000,19,4,2,1,1,18,11
63,7200,21,2,1,2,1,19,1
22,0,95,0,4,2,2,16,0
49,0,50,0,3,1,2,22,0
25,0,26,0,1,1,1,14,0
72,4200,21,1,3,2,1,19,1
4,0,63,0,3,2,2,16,0
24,0,80,0,3,1,1,22,0
81,7000,19,1,2,1,1,18,0
9,1100,54,1,2,1,1,16,0
87,0,18,1,2,2,1,16,0
316,0,26,0,1,1,1,14,0
1,2000,47,2,2,1,1,16,2
27,0,74,0,3,1,1,1,0
68,0,84,0,3,2,1,16,0
4,0,59,1,3,1,1,19,0
18,0,51,0,3,2,1,16,0
18,0,57,0,4,1,2,19,0
68,5600,29,4,1,1,2,17,0
73,8000,19,1,4,2,6,18,10
29,0,65,0,3,1,1,16,0
16,0,57,0,4,2,2,19,0
5,0,16,0,4,2,1,12,0
107,0,18,9,4,2,1,18,0
9,0,73,0,3,2,1,16,0
97,85000,23,1,3,1,1,21,1
45,0,81,0,4,2,1,16,0
16,1000,33,1,4,1,1,16,1
6,45500,46,1,3,1,1,16,2
43,0,46,0,2,1,2,11,0
17,-10001,6,0,1,1,2,4,0
9,0,95,0,1,2,1,16,0
121,20000,20,1,1,2,1,19,1
2,-10001,6,0,1,1,2,4,0
35,0,16,0,4,2,9,11,0
8,9500,32,1,3,1,1,17,0
20,0,90,0,4,2,1,12,0
12,0,45,0,1,1,2,17,0
97,0,35,0,3,1,1,13,0
19,0,57,0,3,2,3,16,0
77,1200,19,1,3,2,1,19,0
51,0,29,0,2,1,1,17,0
34,14000,49,1,2,1,2,16,0
38,0,21,0,3,1,1,14,0
19,11300,20,1,3,2,1,19,0
18,-10001,15,0,4,2,1,11,0
76,8500,23,1,1,1,1,19,0
93,0,54,0,2,1,1,12,0
7,0,95,0,1,2,1,16,0
9,500,17,1,1,1,2,13,0
41,0,27,1,1,1,1,16,0
64,0,72,0,2,2,9,16,0
10,0,27,0,2,2,2,13,0
5,0,64,0,4,1,1,16,0
20,50000,42,1,3,2,1,19,1
16,0,95,0,1,2,1,11,0
18,0,65,1,4,1,2,16,0
39,620,19,1,1,2,2,19,2
67,0,42,0,2,1,2,13,0
10,0,88,0,4,2,1,21,0
89,0,52,1,2,1,2,14,0
22,-10001,14,0,1,2,2,8,0
32,0,69,0,1,1,1,13,0
75,9000,18,1,4,2,1,18,11
75,120000,48,5,4,1,1,21,0
32,10000,18,1,4,1,1,16,0
32,0,66,1,3,1,1,14,0
6,0,95,0,3,2,1,19,0
112,18500,56,2,2,1,1,16,0
61,0,19,1,1,1,1,18,0
57,1100,19,4,4,2,6,19,2
20,0,62,0,1,1,1,16,0
54,0,74,0,3,1,1,16,0
99,0,59,0,3,1,2,16,0
